league.season,HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Time,Result,HalftimeHomeGoals,HalftimeAwayGoals,HalftimeResult,HomeShot,AwayShot,HomeShotTarget,AwayShotTarget,HomeTeamFouls,AwayTeamFouls,HomeTeamCorners,AwayTeamCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,result_home,result_away,home_goals_scored_home,home_goals_conceded_home,home_win_rate_home,away_goals_scored_away,away_goals_conceded_away,away_win_rate_away,home_season_rank,away_season_rank,home_rolling_scored,home_rolling_conceded,home_rolling_win_rate,away_rolling_scored,away_rolling_conceded,away_rolling_win_rate
2024,Lille,Strasbourg,3,3,2024-09-21,16:00,D,2,2,D,15,12,7,9,16,12,9,5,2,2,0,0,0.5,0.5,1.824,1.059,0.647,1.353,1.412,0.353,5,7,1.4,1.2,0.4,1.8,1.8,0.2
2024,Reims,Paris SG,1,1,2024-09-21,20:00,D,1,0,H,8,11,1,4,11,6,3,5,2,1,0,0,0.5,0.5,1.0,1.471,0.235,2.765,1.118,0.706,16,1,1.6,1.4,0.6,3.6,0.6,1.0
2024,Rennes,Lens,1,1,2024-09-21,18:00,D,1,0,H,11,10,6,2,16,20,4,3,2,4,0,0,0.5,0.5,1.471,1.0,0.529,1.353,1.0,0.471,12,8,1.8,1.4,0.4,1.2,0.6,0.4
2024,Stade Brestois,Toulouse,2,0,2024-09-22,16:00,H,1,0,H,9,10,5,1,15,18,4,3,1,1,0,0,1.0,0.0,1.824,1.235,0.588,1.412,1.235,0.353,9,10,1.8,2.0,0.4,0.8,1.4,0.2
2024,Angers,Nantes,1,1,2024-09-22,16:00,D,1,1,D,4,9,1,3,13,16,3,6,1,4,0,0,0.5,0.5,1.059,1.941,0.294,1.176,2.0,0.176,14,13,0.4,1.8,0.0,1.2,1.4,0.4
2024,Lyon,Marseille,2,3,2024-09-22,19:45,A,0,0,D,18,6,9,5,13,7,10,3,4,3,0,1,0.0,1.0,2.176,1.235,0.647,1.941,1.412,0.588,6,2,1.2,1.8,0.4,2.8,1.0,0.8
2024,Monaco,Le Havre,3,1,2024-09-22,14:00,H,1,1,D,14,9,4,2,10,17,6,4,1,3,0,0,1.0,0.0,2.235,0.941,0.706,1.471,1.765,0.412,3,15,2.2,0.2,0.8,1.4,1.8,0.4
2024,Montpellier,Auxerre,3,2,2024-09-22,16:00,H,0,1,A,14,11,5,6,13,20,11,5,3,4,0,0,1.0,0.0,1.0,2.412,0.176,1.412,2.0,0.235,18,11,0.8,3.0,0.0,0.8,2.4,0.2
2024,Paris SG,Rennes,3,1,2024-09-27,20:00,H,1,0,H,22,13,7,5,9,11,6,4,1,3,0,0,1.0,0.0,2.647,0.941,0.824,1.529,1.941,0.235,1,12,3.4,0.8,0.8,1.8,1.2,0.4
2024,Auxerre,Stade Brestois,3,0,2024-09-27,18:00,H,2,0,H,15,8,4,4,13,16,2,3,2,0,0,0,1.0,0.0,1.412,1.0,0.412,1.235,2.235,0.294,11,9,1.0,2.4,0.2,1.6,2.0,0.4
2024,Le Havre,Lille,0,3,2024-09-28,18:00,A,0,2,A,7,18,4,10,11,9,1,5,2,1,0,0,0.0,1.0,0.882,2.412,0.176,1.235,1.059,0.353,15,5,1.4,2.0,0.4,1.6,1.4,0.4
2024,Lens,Nice,0,0,2024-09-28,16:00,D,0,0,D,22,15,7,4,16,7,11,4,4,2,1,0,0.5,0.5,1.118,1.294,0.412,1.647,1.529,0.353,8,4,1.0,0.4,0.4,2.8,1.2,0.4
2024,Monaco,Montpellier,2,1,2024-09-28,20:00,H,1,1,D,21,9,7,4,17,17,6,2,4,3,0,1,1.0,0.0,2.235,0.941,0.706,0.353,2.235,0.059,3,18,2.0,0.4,0.8,1.0,3.0,0.2
2024,Angers,Reims,1,3,2024-09-29,16:00,A,0,2,A,14,21,3,10,7,11,5,4,0,3,0,0,0.0,1.0,1.059,1.941,0.294,0.941,1.294,0.235,14,16,0.6,1.8,0.0,1.4,1.4,0.4
2024,Nantes,St Etienne,2,2,2024-09-29,16:00,D,1,0,H,16,5,3,3,11,12,8,4,2,2,1,0,0.5,0.5,1.118,1.059,0.294,0.882,2.588,0.118,13,17,1.4,0.8,0.4,0.2,3.0,0.2
